OrderNumber,EventStartTime,EventName,TicketType,OrganizationCategoryName,OrganizationName,OrganizationZipCode,OrganizationState,Quantity,OrganizationCity,School District,School Type,school_id,school_code,school_name,principal_name,sector,network,network_from_pdf,city_council_district,grades_served,admission_category,report_type,enrollment_oct1,students_served_full_year,pct_american_indian,pct_asian,pct_black,pct_hispanic,pct_multiracial,pct_pacific_islander,pct_white,pct_iep,pct_english_learners,pct_economically_disadvantaged,student_attendance_2324,teacher_attendance_2324,pct_attend_95plus,pct_attend_90plus,dropouts_2324,graduation_rate_2324,keystone_algebra_2324,keystone_biology_2324,keystone_literature_2324,pssa_grade3_reading,pssa_grade3_8_reading,pssa_grade3_math,pssa_grade3_8_math,pssa_science,nocti_2324,pdf_url
100901743,10/17/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,3,PA,Philadelphia City SD,Public,7280,7280,Benjamin Franklin Elementary School,"Roslynn Sample Greene
Sector District",District,Network 10,Network 10,District 9,K-8,Catchment,High School,592,667.0,0.0,4.9,51.0,38.3,3.7,0.3,1.7,11.7,29.1,82.4,67.9,68.3,39.4,67.9,0.0,,,,,20.3,28.2,9.2,7.9,30.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B7280%5D_SP_SPREE_SPOTlight.pdf
100901743,10/3/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,3,PA,Philadelphia City SD,Public,7280,7280,Benjamin Franklin Elementary School,"Roslynn Sample Greene
Sector District",District,Network 10,Network 10,District 9,K-8,Catchment,High School,592,667.0,0.0,4.9,51.0,38.3,3.7,0.3,1.7,11.7,29.1,82.4,67.9,68.3,39.4,67.9,0.0,,,,,20.3,28.2,9.2,7.9,30.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B7280%5D_SP_SPREE_SPOTlight.pdf
100901748,10/3/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,2,PA,Philadelphia City SD,Public,7280,7280,Benjamin Franklin Elementary School,"Roslynn Sample Greene
Sector District",District,Network 10,Network 10,District 9,K-8,Catchment,High School,592,667.0,0.0,4.9,51.0,38.3,3.7,0.3,1.7,11.7,29.1,82.4,67.9,68.3,39.4,67.9,0.0,,,,,20.3,28.2,9.2,7.9,30.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B7280%5D_SP_SPREE_SPOTlight.pdf
100901770,12/8/2022,Gallery Lessons,Adult,PreK-12,Cape May County Technical High School,08210-1651,Cape May Court House,2,New Jersey,Cape May County Technical High SD,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100901853,10/3/2022,PreK-12 Online Learning,Adult,PreK-12 Free,Avery D. Harrington School,19143-3117,Philadelphia,3,PA,Philadelphia City SD,Public,1300,1300,Avery D. Harrington School,"Marlita Thorn
Sector District",District,Network 1,Network 1,District 3,K-8,Catchment,High School,289,333.0,0.0,0.4,91.0,4.8,2.1,0.0,1.7,28.4,1.7,86.2,50.1,83.3,27.0,50.2,0.0,,,,,26.9,26.5,19.2,11.6,17.0,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1300%5D_SP_SPREE_SPOTlight.pdf
100903502,3/28/2023,Gallery Lessons,Adult,PreK-12,Cape May County Technical High School,08210-1651,Cape May Court House,2,New Jersey,Cape May County Technical High SD,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100910537,10/26/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Mastery CS - Smedley Campus,19124-1359,Philadelphia,1,PA,Unaffiliated,Charter,3409,3409,Mastery Charter School at Smedley,Joel Boyd,Charter,Charters,Charters,District 7,K-6,Catchment,High School,782,797.0,0.4,0.3,61.1,31.1,4.1,0.3,2.8,28.3,5.9,98.3,,,41.8,72.3,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3409%5D_SP_SPREE_SPOTlight.pdf
100910559,5/15/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Wissahickon CS - Awbury,19138-1023,Philadelphia,2,Pennsylvania,Unaffiliated,Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100910559,5/17/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Wissahickon CS - Awbury,19138-1023,Philadelphia,2,Pennsylvania,Unaffiliated,Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100914018,10/27/2022,Admission,Adult,PreK-12,Council Rock HS North,18940,Newtown,3,Pennsylvania,Council Rock SD,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
