OrganizationName,OrganizationZipCode,School District,School Type
*St. Laurentius School,19125,Archdiocese of Philadelphia,Archdiocese
A.L. Fitzpatrick School,19154,Philadelphia City SD,Public
Abington SHS,19001-4534,Abington SD,Public
Academy of the New Church,19009,Unaffiliated,Private
American Home Life International,17603,Unaffiliated,Other
Ancillae Assumpta Academy,19095,Unaffiliated,Private
Art Buds,19139,Unaffiliated,Afterschool
Baldi School,19115-3609,Philadelphia City SD,Public
Baldwin School,19010-3505,Unaffiliated,Private
Baltimore Design School,21202,Baltimore City,Public
Bank Street College,10025,,
Barnes PreK-12 Department,19130,Unaffiliated,Other
Bishop McHugh Regional Catholic School,8210,Diocese of Camden,Catholic
Blessed Trinity Regional Catholic School,19136,Archdiocese of Philadelphia,Archdiocese
Boys and Girls Club - Atlantic City,8041,Unaffiliated,Afterschool
Bridgeton High School,8302,Bridgeton,Public
Bridgewater-Raritan HS,8807,Bridgewater-Raritan Regional SD,Public
Brooklyn Heights Montessori School,11201,Unaffiliated,Private
Burlington Township School District,8016,,
Cambodian Association of Greater Philadelphia,19148,Unaffiliated,Other
Camden Big Picture Learning Academy,8103,Camden,Public
Camden Catholic High School,8002,Diocese of Camden,Catholic
Cape May County Technical High School,08210-1651,Cape May County Technical High SD,Public
Cardinal John Foley Regional Catholic,19008,Archdiocese of Philadelphia,Catholic
Catherine School Annex,19142,Philadelphia City SD,Public
Central Bucks HS-West,18901,Central Bucks SD,Public
Chartertech High School,8244,Unaffiliated,Charter
Cherokee High School,08053-2550,Lenape Regional SD,Public
Cherry Hill High School East,08003-2590,Cherry Hill SD,Public
Cherry Hill High School West,8002,Cherry Hill SD,Public
Chester Community CS,19061,Unaffiliated,Charter
Chichester SHS,19061,Chichester SD,Public
Children's Village,19106,Unaffiliated,Private
Christian Brothers Academy,07738-1608,Unaffiliated,Private
Church Farm School,19341-2818,Unaffiliated,Private
Clearview Regional High School,08062-2421,Clearview Regional SD,Public
Clementine Montessori School,19103,Unaffiliated,Private
Cleveland-Bright Futures,19140,Philadelphia City SD,Public
College Settlement Camp,19044,Unaffiliated,Private
Collegium CS,19341,Unaffiliated,Charter
Commonwealth Charter Academy CS,19107,Unaffiliated,Charter
"Community Action Agency of Delaware County, Inc.",19013,Unaffiliated,Other
Community Partnership School,19121-2029,Unaffiliated,Private
Conestoga SHS,19312-1260,Tredyffrin/Easttown SD,Public
Conrad Weiser HS,19551,Conrad Weiser Area SD,Public
Cooper's Poynt Family School,8102,Camden City SD,Public
Council Rock HS North,18940,Council Rock SD,Public
Council Rock HS South,18966-2877,Council Rock SD,Public
Cristo Rey Philadelphia High School,PLACEHOLDER,Unaffiliated,Catholic
Cristo Rey Philadelphia High School,19343,Unaffiliated,Catholic
Crossroads Accelerated Academy,19104,Philadelphia City SD,Public
Crossroads at Hunting Park,19140,Philadelphia City SD,Public
Cupola Academy Homeschool,19035,Unaffiliated,Homeschool
Delaware Valley Classical School,19720,Unaffiliated,Private
Delran High School,8075,Delran Township SD,Public
Delsea Regional High School,08322-2503,Delsea Regional High SD,Public
Discovery Place-Little People,19148,Philadelphia City SD,Public
Do Not Use Dupe - William H. Loesche School,19116-3332,,
Do Not Use Dupe - Wissahickon Charter School - Fernhill,19144,,
Downingtown HS West Campus,19335,Downingtown Area SD,Public
Dr. Henry H. Davis Family School,8105,Camden City SD,Public
East Syracuse Minoa HS,13057,Central SD,Public
El Centro de Estudiantes (Big Picture),19124,Unaffiliated,Charter
Emmaus HS,18049,East Penn SD,Public
FIRE Free Speech Leadership Summit,19106,Unaffiliated,Other
FRENCH AMERICAN SCHOOL OF PRINCETON,8540,Unaffiliated,Private
Forest Hill School,8103,Camden City SD,Public
Forwood ES,19810,Brandywine ,Public
Frankford Friends School,19124,Independent,Private
French International Sch Phila,19004-3026,Unaffiliated,Private
Friends Central School,19096,Unaffiliated,Private
Friends School of Baltimore,21210,Unaffiliated,Private
Friends Select School,19103-1222,Unaffiliated,Private
Garnet Valley HS,19342-1558,Garnet Valley SD,Public
Germantown Academy,19034-2004,Unaffiliated,Private
Girard College,19121,Unaffiliated,Private
Greene Street Friends School,19144,Unaffiliated,Private
Gregorio Luperon High School,10032,New York City SD,Public
Gregory B. Jarvis MS,13407,Central Valley SD,Public
Gwynedd Mercy Academy HS,19002,Archdiocese of Philadelphia,Catholic
H. B. Wilson Family School,8104,Camden City SD,Public
Hatboro-Horsham SHS,19044,Hatboro-Horsham SD,Public
Haverford SHS,19083-3718,Haverford Township SD,Public
Haverford School,19041,Haverford SD,Private
Hill Top Preparatory School,19010,Unaffiliated,Private
Holmdel High School,7733,Holmdel Township SD,Public
Holy Innocents School,19124,Archdiocese of Philadelphia,Archdiocese
Holy Trinity School,19067,Archdiocese of Philadelphia,Archdiocese
Homeschoolersâ€™ Day Out,8053,Unaffiliated,Homeschool
