OrderNumber,EventStartTime,EventName,TicketType,OrganizationCategoryName,OrganizationName,OrganizationZipCode,OrganizationState,Quantity,OrganizationCity,School District,School Type
100901743,10/3/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,3,PA,Philadelphia City SD,Public
100901743,10/3/2022,PreK-12 In-School Post-Visit Lessons,3rd Grade Student,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,90,PA,Philadelphia City SD,Public
100901743,10/3/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,-3,PA,Philadelphia City SD,Public
100901743,10/3/2022,PreK-12 In-School Post-Visit Lessons,3rd Grade Student,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,-90,PA,Philadelphia City SD,Public
100901743,10/17/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,3,PA,Philadelphia City SD,Public
100901743,10/17/2022,PreK-12 In-School Post-Visit Lessons,3rd Grade Student,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,90,PA,Philadelphia City SD,Public
100901743,10/17/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,-3,PA,Philadelphia City SD,Public
100901743,10/17/2022,PreK-12 In-School Post-Visit Lessons,3rd Grade Student,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,-90,PA,Philadelphia City SD,Public
100901853,10/3/2022,PreK-12 Online Learning,Adult,PreK-12 Free,Avery D. Harrington School,19143-3117,Philadelphia,3,PA,Philadelphia City SD,Public
100901853,10/3/2022,PreK-12 Online Learning,3rd Grade Student,PreK-12 Free,Avery D. Harrington School,19143-3117,Philadelphia,30,PA,Philadelphia City SD,Public
100901853,10/3/2022,PreK-12 Online Learning,4th Grade Student,PreK-12 Free,Avery D. Harrington School,19143-3117,Philadelphia,30,PA,Philadelphia City SD,Public
100901853,10/3/2022,PreK-12 Online Learning,3rd Grade Student,PreK-12 Free,Avery D. Harrington School,19143-3117,Philadelphia,22,PA,Philadelphia City SD,Public
100901853,10/3/2022,PreK-12 Online Learning,Adult,PreK-12 Free,Avery D. Harrington School,19143-3117,Philadelphia,-3,PA,Philadelphia City SD,Public
100901853,10/3/2022,PreK-12 Online Learning,3rd Grade Student,PreK-12 Free,Avery D. Harrington School,19143-3117,Philadelphia,-52,PA,Philadelphia City SD,Public
100901853,10/3/2022,PreK-12 Online Learning,4th Grade Student,PreK-12 Free,Avery D. Harrington School,19143-3117,Philadelphia,-30,PA,Philadelphia City SD,Public
100901748,10/3/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,2,PA,Philadelphia City SD,Public
100901748,10/3/2022,PreK-12 In-School Post-Visit Lessons,3rd Grade Student,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,60,PA,Philadelphia City SD,Public
100919586,10/7/2022,PreK-12 Online Learning,Adult,PreK-12 Free,Eleanor C. Emlen School,19119,Philadelphia,4,Pennsylvania,Philadelphia City SD,Public
100919586,10/7/2022,PreK-12 Online Learning,Pre-K Student,PreK-12 Free,Eleanor C. Emlen School,19119,Philadelphia,40,Pennsylvania,Philadelphia City SD,Public
100919680,10/7/2022,PreK-12 Online Learning,Adult,PreK-12 Free,Tanner G. Duckrey School,19121-2310,Philadelphia,5,PA,Philadelphia City SD,Public
100919680,10/7/2022,PreK-12 Online Learning,Pre-K Student,PreK-12 Free,Tanner G. Duckrey School,19121-2310,Philadelphia,36,PA,Philadelphia City SD,Public
100919907,10/7/2022,PreK-12 Online Learning,Adult,PreK-12 Free,Gilbert Spruance School,19149-2816,Philadelphia,2,PA,Philadelphia City SD,Public
100919907,10/7/2022,PreK-12 Online Learning,Pre-K Student,PreK-12 Free,Gilbert Spruance School,19149-2816,Philadelphia,20,PA,Philadelphia City SD,Public
100919966,10/7/2022,PreK-12 Online Learning,Adult,PreK-12 Free,Tanner G. Duckrey School,19121-2310,Philadelphia,5,PA,Philadelphia City SD,Public
100919966,10/7/2022,PreK-12 Online Learning,Pre-K Student,PreK-12 Free,Tanner G. Duckrey School,19121-2310,Philadelphia,36,PA,Philadelphia City SD,Public
100919966,10/7/2022,PreK-12 Online Learning,Adult,PreK-12 Free,Tanner G. Duckrey School,19121-2310,Philadelphia,-5,PA,Philadelphia City SD,Public
100919966,10/7/2022,PreK-12 Online Learning,Pre-K Student,PreK-12 Free,Tanner G. Duckrey School,19121-2310,Philadelphia,-36,PA,Philadelphia City SD,Public
100920358,10/7/2022,PreK-12 Online Learning,Adult,PreK-12 Free,Rudolph Blankenburg School,19131,Philadelphia,4,Pennsylvania,Philadelphia City SD,Public
100920358,10/7/2022,PreK-12 Online Learning,Pre-K Student,PreK-12 Free,Rudolph Blankenburg School,19131,Philadelphia,16,Pennsylvania,Philadelphia City SD,Public
100901748,10/3/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,-2,PA,Philadelphia City SD,Public
100901748,10/3/2022,PreK-12 In-School Post-Visit Lessons,3rd Grade Student,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,-60,PA,Philadelphia City SD,Public
