school_id,school_code,school_name,principal_name,sector,network,network_from_pdf,city_council_district,grades_served,admission_category,report_type,enrollment_oct1,students_served_full_year,pct_american_indian,pct_asian,pct_black,pct_hispanic,pct_multiracial,pct_pacific_islander,pct_white,pct_iep,pct_english_learners,pct_economically_disadvantaged,student_attendance_2324,teacher_attendance_2324,pct_attend_95plus,pct_attend_90plus,dropouts_2324,graduation_rate_2324,keystone_algebra_2324,keystone_biology_2324,keystone_literature_2324,pssa_grade3_reading,pssa_grade3_8_reading,pssa_grade3_math,pssa_grade3_8_math,pssa_science,nocti_2324,pdf_url
1010,1010,John Bartram High School,"Brian Johnson
Sector District",District,Network 12,Network 12,District 2,9-12,Catchment,High School,519,679.0,0.0,3.5,77.3,16.0,3.1,0.0,0.2,24.3,21.8,80.7,40.4,70.3,25.6,40.4,31.0,78.6,9.3,13.9,22.4,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1010%5D_SP_SPREE_SPOTlight.pdf
1020,1020,West Philadelphia High School,"Marla Travis Curtis
Sector District",District,Network 12,Network 12,District 3,9-12,Catchment,High School,593,660.0,0.5,1.0,88.7,4.4,4.4,0.0,1.0,29.5,5.4,89.0,39.7,82.4,18.5,39.7,22.0,80.0,3.0,3.0,24.2,,,,,,4.6,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1020%5D_SP_SPREE_SPOTlight.pdf
1030,1030,High School of the Future,"John Smith Jr
Sector District",District,Network 12,Network 12,District 4,9-12,Citywide,High School,560,562.0,0.9,1.1,92.5,3.6,0.9,0.0,1.1,24.8,2.0,88.2,36.8,72.3,14.6,36.8,14.0,90.2,4.1,9.0,23.3,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1030%5D_SP_SPREE_SPOTlight.pdf
1050,1050,Paul Robeson High School for Human Services,"Lawrence King
Sector District",District,Network 12,Network 12,District 3,9-12,Citywide,High School,289,297.0,0.0,0.4,95.5,2.4,1.0,0.0,0.7,19.0,5.2,83.0,58.3,83.3,30.0,58.3,2.0,94.9,23.6,25.0,66.7,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1050%5D_SP_SPREE_SPOTlight.pdf
1100,1100,William L. Sayre High School,"Jamie Eberle
Sector District",District,Network 12,Network 12,District 3,9-12,Catchment,High School,423,544.0,0.2,0.5,90.5,3.6,4.5,0.0,0.7,38.5,3.3,85.1,42.8,85.3,24.6,42.8,14.0,81.4,5.0,10.3,25.5,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1100%5D_SP_SPREE_SPOTlight.pdf
1130,1130,William T. Tilden Middle School,,District,Network 1,Network 1,District 2,5-8,Catchment,High School,279,351.0,0.0,8.2,75.6,12.5,1.1,0.0,2.5,20.4,21.5,83.9,62.1,69.6,36.5,62.1,2.0,,,,,,17.6,,2.9,11.5,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1130%5D_SP_SPREE_SPOTlight.pdf
1190,1190,Motivation High School,,District,Network 15,Network 15,District 3,9-12,Criteria,High School,239,246.0,0.4,0.8,92.5,2.9,2.5,0.0,0.8,18.8,10.0,86.6,69.9,89.5,37.0,69.9,0.0,89.7,10.8,15.0,38.5,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1190%5D_SP_SPREE_SPOTlight.pdf
1200,1200,John Barry School,"Ismil Lamarr
Sector District",District,Network 1,Network 1,District 4,K-8,Catchment,High School,489,603.0,0.0,0.4,92.8,5.3,1.2,0.0,0.2,23.3,1.8,88.6,38.5,80.9,20.2,38.5,0.0,,,,,5.9,15.4,0.0,2.5,21.4,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1200%5D_SP_SPREE_SPOTlight.pdf
1230,1230,William C. Bryant School,"Bahir Hayes
Sector District",District,Network 1,Network 1,District 3,K-8,Catchment,High School,335,394.0,0.3,2.4,89.9,5.1,1.5,0.0,0.9,16.4,6.0,83.9,70.3,64.5,43.2,70.3,2.0,,,,,30.0,20.5,16.1,4.1,28.3,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1230%5D_SP_SPREE_SPOTlight.pdf
1250,1250,Joseph W. Catharine School,"Lisa Wilmer
Sector District",District,Network 1,Network 1,District 2,K-5,Catchment,High School,397,449.0,0.5,6.3,66.3,19.7,5.8,0.3,1.3,15.9,24.7,78.6,73.1,82.4,53.5,73.1,23.0,,,,,29.6,22.7,20.4,18.2,47.7,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1250%5D_SP_SPREE_SPOTlight.pdf
1260,1260,Benjamin B. Comegys School,"Rauchaun Dupree
Sector District",District,Network 1,Network 1,District 3,K-8,Catchment,High School,265,322.0,0.0,0.8,93.2,3.4,1.5,0.0,1.1,23.8,1.9,90.2,37.0,75.0,16.8,37.0,0.0,,,,,,18.0,,4.3,19.0,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1260%5D_SP_SPREE_SPOTlight.pdf
1280,1280,Sadie T.M. Alexander UPenn Partnership School,"Lauren Overton
Sector District",District,Network 1,Network 1,District 3,K-8,Catchment,High School,584,588.0,0.3,25.3,12.7,5.1,10.1,0.2,46.2,11.5,10.8,30.0,95.9,95.1,82.7,95.9,0.0,,,,,87.3,89.2,83.1,84.9,94.7,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1280%5D_SP_SPREE_SPOTlight.pdf
1290,1290,Andrew Hamilton School,"Torrence Rothmiller
Sector District",District,Network 1,Network 1,District 3,K-8,Catchment,High School,354,411.0,1.4,0.9,93.2,4.0,0.3,0.0,0.3,28.3,2.0,86.4,43.1,90.0,20.0,43.1,0.0,,,,,19.1,17.6,9.5,6.3,23.5,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1290%5D_SP_SPREE_SPOTlight.pdf
1300,1300,Avery D. Harrington School,"Marlita Thorn
Sector District",District,Network 1,Network 1,District 3,K-8,Catchment,High School,289,333.0,0.0,0.4,91.0,4.8,2.1,0.0,1.7,28.4,1.7,86.2,50.1,83.3,27.0,50.2,0.0,,,,,26.9,26.5,19.2,11.6,17.0,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1300%5D_SP_SPREE_SPOTlight.pdf
